fft_0, fft_1, fft_2, zf_0, zf_1, zf_2, demul_0, demul_1, demul_2, decode_0, decode_1, decode_2
276.515 1110.678 3573.219 43.860 53.645 974.965 353.081 263.208 502.350 6.348 1748.715 0.000
273.883 1080.123 3637.527 45.899 55.834 982.518 351.069 260.874 470.592 10.018 1748.952 0.000
270.395 991.745 3529.369 43.523 54.046 973.961 356.527 262.694 490.687 7.167 1746.620 0.000
268.338 967.887 3628.646 45.520 55.512 980.736 354.422 260.997 472.862 9.209 1749.766 0.000
270.947 991.251 3468.962 44.181 53.893 976.303 355.350 262.839 524.431 7.297 1747.767 0.000
267.188 975.630 3663.684 46.934 57.059 986.782 354.457 260.901 463.325 10.187 1746.587 0.000
266.653 972.796 3616.950 45.040 55.046 982.399 356.512 264.287 507.824 7.212 1751.517 0.000
277.635 1109.402 3599.313 46.410 56.538 985.875 355.769 263.277 481.110 7.558 1751.826 0.000
269.764 1083.383 3582.565 43.509 53.379 983.783 354.266 338.964 511.744 7.943 1754.303 0.000
273.348 994.428 3428.417 45.557 55.888 1007.200 351.515 260.417 478.991 9.801 1749.967 0.000
263.438 970.288 3541.167 43.454 53.308 973.669 353.702 262.157 494.648 7.173 1747.986 0.000
268.252 979.375 3508.703 46.160 56.252 980.719 344.473 260.222 454.992 8.501 1748.698 0.000
256.536 959.779 3680.287 44.107 54.245 979.993 335.718 260.501 413.506 8.451 1744.720 0.000
261.944 957.897 3717.519 47.562 58.233 975.372 341.084 259.295 406.545 7.976 1743.190 0.000
275.461 1108.911 3542.776 44.103 54.057 978.256 352.655 262.502 489.288 7.849 1751.154 0.000
272.605 1079.412 3572.014 47.297 57.883 982.951 352.794 261.115 486.293 9.458 1747.329 0.000
275.231 1098.632 3486.424 44.724 54.605 985.218 351.766 262.182 495.048 6.345 1747.604 0.000
270.118 1050.579 3627.849 45.332 55.188 979.811 350.740 263.458 494.886 8.919 1751.534 0.000
